Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 06/20  01:30:00,23.43177712677659,26.0,23.77260829990444,25.0,23.876006125456833,24.0,23.74867348303546,23.0,22.96862259586047,24.0,23.69026555879053,25.0,22.223730810690878,26.0,0.0,0.0,-0.29523753616287757,-0.2971933483435922,-1.9109923021843849,-1.0270476375127768,-0.39336275302320106,-0.7373062011971122,-0.4137499212754784 
 06/20  01:45:00,23.387041589262765,26.0,23.722815223378984,25.0,23.824765625342042,24.0,23.70694366929193,23.0,22.91139106207616,24.0,23.650806842910324,25.0,22.164684965072816,26.0,0.0,0.0,-0.3104364966461959,-0.3127530595234769,-1.9287682408948774,-1.0451150569214605,-0.4054911614772402,-0.7555800235409649,-0.4274864309501507 
 06/20  02:00:00,23.342574556210533,26.0,23.67369393979464,25.0,23.774215029329046,24.0,23.665349923674714,23.0,22.85490452608235,24.0,23.611370571863727,25.0,22.106689331317227,26.0,0.0,0.0,-0.3254791871654951,-0.32816406766703937,-1.9465011584408345,-1.06442109482688,-0.4176185191644351,-0.7735519847864526,-0.44115367386812115 
 06/20  02:15:00,23.298130461400984,26.0,23.624813820339966,25.0,23.724028634966103,24.0,23.623610605540197,23.0,22.798753747984886,24.0,23.57170341168521,25.0,22.048999728332266,26.0,0.0,0.0,-0.3405568664631054,-0.3435295148113843,-1.9644117895788846,-1.0837696361553144,-0.4298912657738996,-0.7916807753552134,-0.4548873643821993 
 06/20  02:30:00,23.253681472308077,26.0,23.576110080724362,25.0,23.674148193103882,24.0,23.581749603272684,23.0,22.742864766899434,24.0,23.531843319339462,25.0,21.99140544321171,26.0,0.0,0.0,-0.35556390253571507,-0.3588122159292499,-1.9823409229258253,-1.1029815322642609,-0.44219922619895347,-0.809707713933343,-0.4686136587593442 
 06/20  02:45:00,23.209298241299468,26.0,23.527669432951466,25.0,23.624592519383704,24.0,23.53988339303327,23.0,22.68733089666118,24.0,23.49190715113369,25.0,21.93406473364631,26.0,0.0,0.0,-0.3705065300702186,-0.37402563715385706,-2.0002870737153464,-1.1220726866656332,-0.4545399581167532,-0.8276264170918853,-0.4823257650561814 
 06/20  03:00:00,23.164740044919,26.0,23.479533123106975,25.0,23.575329039319385,24.0,23.498038466025047,23.0,22.632197347186857,24.0,23.45191958548518,25.0,21.87713308353349,26.0,0.0,0.0,-0.38538476379472997,-0.38918372482498625,-2.0182509927543673,-1.1410487947989572,-0.46691351351090427,-0.8476736956217958,-0.49626355605040007 
 06/20  03:15:00,23.121004866685457,26.0,23.432460206946967,25.0,23.526686143650462,24.0,23.457107177101896,23.0,22.57849368825735,24.0,23.41274116880702,25.0,21.822336865855455,26.0,0.0,0.0,-0.39968387432790264,-0.40404871098080886,-2.0355390787750305,-1.1590964493668336,-0.4788484368541708,-0.86704149826637,-0.5095554914555182 
 06/20  03:30:00,23.078238194331245,26.0,23.386509381716778,25.0,23.47865095022955,24.0,23.417007246715826,23.0,22.5263472338191,24.0,23.37427941203303,25.0,21.77014197605915,26.0,0.0,0.0,-0.41380587470441077,-0.4188218512875814,-2.0526749003184923,-1.176834619872887,-0.49069951633897274,-0.8870812288046599,-0.522713383318158 
 06/20  03:45:00,23.03613275317527,26.0,23.341359765334193,25.0,23.431111884120906,24.0,23.377312134774158,23.0,22.475358756504356,24.0,23.33612495205053,25.0,21.719964874711092,26.0,0.0,0.0,-0.4277307893356762,-0.43345902522381247,-2.0696708740004204,-1.1942399998188418,-0.5024756316743355,-0.905416361962075,-0.5357028935597514 
 06/20  04:00:00,22.99455876708816,26.0,23.296810403081533,25.0,23.384107009917727,24.0,23.337877003050732,23.0,22.425274654201036,24.0,23.298153490704305,25.0,21.671215913552402,26.0,0.0,0.0,-0.441474397184561,-0.4479304472016081,-2.0865413135540956,-1.2113280365316352,-0.5141845545078079,-0.9232550876966582,-0.5485069439329727 
 06/20  04:15:00,22.954563448828953,26.0,23.253791733362416,25.0,23.338221150235427,24.0,23.299951323583727,23.0,22.377455145691698,24.0,23.261585753569783,25.0,21.626096519123386,26.0,0.0,0.0,-0.4544520222361943,-0.46194285981638705,-2.102432993515029,-1.2270478532545475,-0.5252384268815627,-0.9386738466678465,-0.5605460634042019 
 06/20  04:30:00,22.91635131472457,26.0,23.212624709712024,25.0,23.2937422162701,24.0,23.26371532880205,23.0,22.33238903209904,24.0,23.226572201176815,25.0,21.58525963670183,26.0,0.0,0.0,-0.4669559698230982,-0.4755710551577449,-2.1177748554915112,-1.2419970036869876,-0.5359395022304317,-0.9529586060719107,-0.5722026545361161 
 06/20  04:45:00,22.87969196554221,26.0,23.173111003183312,25.0,23.250759620559702,24.0,23.228767913785646,23.0,22.289803218696317,24.0,23.192723986009696,25.0,21.54806050476053,26.0,0.0,0.0,-0.47902927430000836,-0.4887817214816075,-2.132649099698529,-1.2562282895647667,-0.546333316440354,-0.9660287684760718,-0.5834179140403589 
 06/20  05:00:00,22.844476199360763,26.0,23.135079404690877,25.0,23.209442321085806,24.0,23.19493146307635,23.0,22.249475086146287,24.0,23.159886669996812,25.0,21.513692320413078,26.0,0.0,0.0,-0.49065379853720675,-0.5015019322320958,-2.147048838296716,-1.2696765954433358,-0.5564175939577672,-0.9782296697137836,-0.5942027001059679 
