Date/Time,FF - ACADEMIC ADMINISTRATION 1:Zone Air Temperature [C](TimeStep),FF - ACADEMIC ADMINISTRATION 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Air Temperature [C](TimeStep),FF - CLASSROOM 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Air Temperature [C](TimeStep),FF - COMPUTER LAB 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Air Temperature [C](TimeStep),FF - FACULTY LOUNGE 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - LIBRARY 1:Zone Air Temperature [C](TimeStep),FF - LIBRARY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),FF - QA 1:Zone Air Temperature [C](TimeStep),FF - QA 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),GF - LOBBY 1:Zone Air Temperature [C](TimeStep),GF - LOBBY 1:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep),Whole Building:Facility Total HVAC Electricity Demand Rate [W](TimeStep),Whole Building:Facility Total Produced Electricity Rate [W](TimeStep),CLASSROOM - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),COMPUTER LAB - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),FACULTY LOUNGE - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LIBRARY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),QA - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),LOBBY - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep),ACADEMIC ADMINISTRATION - PEOPLE:Zone Thermal Comfort Fanger Model PMV [](TimeStep) 
 09/17  00:15:00,22.816966396520527,26.0,22.982845725372268,25.0,23.067396053457873,24.0,22.84899674006788,23.0,22.753457583057266,24.0,22.879221013493197,25.0,22.152753045098944,26.0,0.0,0.0,-0.5818950056183817,-0.6141441457067468,-2.3039477207562995,-1.0680493418845718,-0.4625106462360529,-0.8887218600828147,-0.5660032820716568 
 09/17  00:30:00,22.764881507237344,26.0,22.93073802146541,25.0,23.01794794197004,24.0,22.802590952332174,23.0,22.676085931190126,24.0,22.83398918009841,25.0,22.057241770023204,26.0,0.0,0.0,-0.5988503195659383,-0.629391701206569,-2.3243626838759672,-1.0964680893822247,-0.4789296356867673,-0.9228021264231635,-0.5826027426628518 
 09/17  00:45:00,22.708739234126423,26.0,22.87367405079065,25.0,22.967183261871718,24.0,22.751940080112696,23.0,22.59140949654647,24.0,22.784805738335457,25.0,21.944173314790742,26.0,0.0,0.0,-0.6168248577460701,-0.644901167171197,-2.346057051562322,-1.1264700857275358,-0.4963837007423371,-0.9605934929360609,-0.6000361726244688 
 09/17  01:00:00,22.650930933013907,26.0,22.814117652699718,25.0,22.91584745017137,24.0,22.699967513600594,23.0,22.50334538869216,24.0,22.734420596912162,25.0,21.821516924818987,26.0,0.0,0.0,-0.635510095112256,-0.6606393205095714,-2.368424053285611,-1.1574398755858486,-0.5143401703665885,-1.000922199318277,-0.6179811431860538 
 09/17  01:15:00,22.598002205105697,26.0,22.758763622354458,25.0,22.86662742075331,24.0,22.65434857007366,23.0,22.42220202416751,24.0,22.690120429253742,25.0,21.710383649311222,26.0,0.0,0.0,-0.6515252562698235,-0.6752977439035612,-2.3866296859958647,-1.1833027825756226,-0.5290165012658348,-1.035210177984674,-0.6333402224971458 
 09/17  01:30:00,22.550139899924368,26.0,22.70846988613887,25.0,22.819447141284446,24.0,22.61437552477688,23.0,22.349938911441004,24.0,22.65105956534181,25.0,21.617952308400206,26.0,0.0,0.0,-0.6668378892199821,-0.6897415035537523,-2.4036486811428883,-1.2074019603479913,-0.5426821493500237,-1.063820620291623,-0.6466146268044564 
 09/17  01:45:00,22.504145947503428,26.0,22.660538562585746,25.0,22.77280233491863,24.0,22.575832358223163,23.0,22.28270243129248,24.0,22.61314524495608,25.0,21.53851271812609,26.0,0.0,0.0,-0.681762361020648,-0.7041585178117724,-2.420406228275302,-1.2305697766930581,-0.5561622867343555,-1.0898327199018405,-0.6609701300290751 
 09/17  02:00:00,22.457660864299214,26.0,22.612577832008633,25.0,22.725604003872693,24.0,22.536278662301605,23.0,22.216659398372826,24.0,22.57411068437591,25.0,21.46437664057664,26.0,0.0,0.0,-0.6968076477503111,-0.7187758946935973,-2.437446194551435,-1.2534682275111548,-0.5685839244383062,-1.1145665024628737,-0.6754540989434273 
 09/17  02:15:00,22.411044887635956,26.0,22.564631599713103,25.0,22.678032950905024,24.0,22.49666426177774,23.0,22.151477410121558,24.0,22.534949824921004,25.0,21.393656116344406,26.0,0.0,0.0,-0.7115204620902552,-0.7333598301670055,-2.4539944063772463,-1.2753986387082632,-0.5820316143855816,-1.1371938144428273,-0.6896048589516319 
 09/17  02:30:00,22.364776545703073,26.0,22.517103007074223,25.0,22.63041985550691,24.0,22.457619948644094,23.0,22.08744845258364,24.0,22.496278394875798,25.0,21.326097871730855,26.0,0.0,0.0,-0.7261336034264905,-0.7479746816334728,-2.4705339218177453,-1.297142230263834,-0.5954682475469808,-1.1590264933191217,-0.7037823707531987 
